,model,stock,loss (mean_squared_error),mean_absolute_error,root_mean_squared_error,mean_absolute_percentage_error
17,BGRU (US),MSFT,0.0005357862100936472,0.01600847952067852,0.023147055879235268,0.010825058632324164
15,BGRU (US),AAPL,0.0007471861899830401,0.018403496593236923,0.027334708720445633,0.012802253284088483
14,BGRU (US),1299.HK,0.0008854033658280969,0.020114487037062645,0.02975573018193245,0.01026830464508965
5,BGRU (HK),MSFT,0.001109498436562717,0.02715344727039337,0.03330913558602333,0.017951611507489744
3,BGRU (HK),AAPL,0.0013013327261433005,0.027756495401263237,0.036073990166187286,0.01787004062334453
0,BGRU (HK),TEAM,0.0014730078401044011,0.02443607524037361,0.03837978467345238,0.018593047404463065
12,BGRU (US),TEAM,0.0015554992714896798,0.023418517783284187,0.03943981975317001,0.016298758698586973
16,BGRU (US),1038.HK,0.0016031279228627682,0.019678102806210518,0.04003908112645149,0.007672927189226873
2,BGRU (HK),1299.HK,0.0018373073544353247,0.03507155925035477,0.04286382347345352,0.017927989191331657
4,BGRU (HK),1038.HK,0.0023363956715911627,0.024504786357283592,0.04833627864718437,0.009705497582630188
13,BGRU (US),2888.HK,0.0028103203512728214,0.03348557651042938,0.053012456744909286,0.014031797145345137
1,BGRU (HK),2888.HK,0.0032592671923339367,0.03944455459713936,0.05708999186754227,0.016045039108497347
22,GAN (US),1038.HK,2.775062384566705,1.103667159344877,1.6658518495252526,0.026478238336715334
10,GAN (HK),1038.HK,6.185044830259282,1.8748805380944655,2.4869750361150156,0.04588155081952789
19,GAN (US),2888.HK,8.408338871546546,2.262780745311451,2.8997135843987327,0.047695476510893904
7,GAN (HK),2888.HK,11.646236417624083,2.4396618668751042,3.4126582626486472,0.05080924337005109
20,GAN (US),1299.HK,16.111412034502674,3.222955171087696,4.013902344913572,0.03759209431608129
8,GAN (HK),1299.HK,21.356534323150353,3.7318039919561543,4.621313051844719,0.04352221884008561
21,GAN (US),AAPL,32.18531954624776,4.3150359485833105,5.67321069115609,0.03855321528514765
9,GAN (HK),AAPL,51.11837409687777,6.029517970495489,7.14971146948447,0.05891509319077847
23,GAN (US),MSFT,92.43128584856854,7.229299471404123,9.614119088536844,0.031853973766692995
11,GAN (HK),MSFT,147.8844429457132,9.173357867069168,12.160774767493772,0.04186202914466589
18,GAN (US),TEAM,239.26504877909,11.063487352361811,15.468194748550653,0.052699533197380154
6,GAN (HK),TEAM,334.20841597107227,13.678043227108946,18.281368000537384,0.06320973150373457
